Brand,Model,Body,Country,Condition,Fuel_Type,Gearbox,Horsepower,Seats,Doors,Color,Full_Service_History,Non_Smoker_Vehicle,Seller,Vehicle_Age,Annual_Distance_Avg,Market_Segment,Classic_Vehicle
0,94,0,2,1,6,1,135,4,2,7,True,1,0,17,6882.35294117647,2,0
32,795,5,4,1,8,1,80,5,5,2,False,0,0,11,11818.181818181818,2,0
18,482,3,2,1,1,0,179,5,5,13,True,0,0,6,8955.0,1,0
3,903,3,1,1,1,1,136,5,5,7,True,1,0,10,12000.0,1,0
5,9,5,4,1,6,0,136,5,5,1,True,0,0,3,6500.0,1,0
37,874,5,6,1,6,1,110,5,4,9,False,0,0,97,2030.680412371134,0,1
24,691,5,4,1,1,1,177,5,5,7,False,0,0,18,17131.11111111111,1,0
18,534,3,2,1,1,0,300,5,5,1,False,1,0,6,13623.5,1,0
25,750,3,3,1,6,0,430,5,5,1,False,0,0,10,9950.0,0,0
34,31,6,4,1,1,0,131,5,5,7,False,0,0,5,31200.0,2,0
37,1009,5,2,1,6,0,218,4,4,13,False,1,0,35,3537.1428571428573,0,1
4,245,3,2,1,6,0,549,5,4,10,True,1,0,1,5960.0,0,0
23,922,3,4,1,1,0,249,5,5,7,True,0,0,6,23333.33333333333,1,0
41,705,3,1,1,6,1,102,2,2,6,True,0,0,4,12003.75,2,0
26,956,2,7,1,6,1,241,2,4,6,False,0,0,31,806.4516129032259,2,1
3,905,3,2,1,1,0,204,5,5,7,True,1,0,1,11534.0,1,0
8,283,3,4,1,6,1,101,5,5,11,False,0,0,1,1.0,2,0
32,909,3,2,1,6,0,158,5,4,1,True,1,0,2,12950.0,2,0
8,288,3,4,1,6,1,82,5,5,9,False,0,0,10,8875.0,2,0
1,717,3,4,1,4,0,145,5,5,2,False,0,0,1,11431.0,1,0
0,120,5,8,1,6,0,179,4,3,6,True,1,1,5,7400.0,2,0
3,905,3,2,1,6,0,224,5,4,1,True,0,0,13,21055.92307692308,1,0
26,29,0,2,1,4,0,116,5,5,1,False,0,0,1,5.0,2,0
10,254,5,2,1,2,0,231,5,5,7,True,1,0,3,3326.6666666666665,1,0
37,1010,5,7,1,6,0,0,5,4,1,False,0,0,74,675.6756756756756,0,1
26,421,3,4,1,1,0,184,5,5,7,True,1,0,5,13220.0,2,0
39,849,5,1,1,1,1,105,5,5,11,True,1,0,14,15571.42857142857,2,0
24,642,5,2,1,4,0,345,5,4,10,False,1,0,18,10021.666666666666,1,0
36,224,3,6,1,4,0,0,5,5,1,True,0,0,3,6662.0,2,0
37,573,5,2,0,6,0,600,4,4,1,False,0,0,6,8.333333333333334,0,0
10,1083,3,2,1,2,0,286,5,5,7,True,0,0,1,6895.0,1,0
9,301,2,2,0,6,0,481,2,2,10,False,0,0,6,0.0,0,0
14,897,5,1,1,6,1,69,5,5,2,True,1,0,8,13079.125,2,0
36,1124,0,2,1,2,1,82,5,5,13,False,0,0,4,9325.0,2,0
45,527,3,2,1,2,0,272,5,5,13,True,1,0,1,12500.0,1,0
17,1121,3,2,1,6,0,177,5,5,2,True,1,0,10,5861.5,2,0
30,390,3,2,1,4,0,220,5,5,1,True,1,0,4,8122.5,1,0
34,34,0,6,1,6,1,95,5,5,1,False,0,0,17,13023.235294117649,2,0
11,983,3,2,1,8,1,101,5,5,6,True,1,0,1,15011.0,2,0
26,420,3,4,1,4,1,122,5,5,2,False,1,0,5,10000.0,2,0
43,393,5,4,1,1,1,116,5,5,7,False,0,0,21,10285.714285714286,2,0
43,223,6,6,1,4,0,99,5,5,13,True,0,0,13,14239.307692307691,2,0
29,788,5,2,1,2,0,204,5,5,7,True,1,0,1,5000.0,2,0
1,799,0,2,1,6,1,135,5,2,9,True,1,0,14,5642.857142857143,1,0
32,909,3,4,1,4,1,140,5,5,7,False,0,0,1,15374.0,2,0
30,375,3,4,1,1,0,111,5,5,13,False,0,0,13,8846.153846153846,1,0
17,1121,3,4,1,3,1,136,5,5,1,False,1,0,7,14857.142857142857,2,0
6,222,3,8,1,2,0,204,5,5,11,False,0,1,2,14250.0,2,0
28,178,5,1,1,6,0,224,5,5,7,True,1,0,4,12261.5,1,0
39,987,5,2,1,6,1,116,5,5,1,True,1,0,7,10657.57142857143,2,0
1,574,5,6,1,6,0,510,5,4,1,False,0,0,5,14438.6,1,0
19,1168,3,2,1,6,0,272,5,5,1,True,0,0,4,11101.75,2,0
21,228,2,2,1,6,0,770,2,2,7,True,1,0,6,1298.3333333333333,0,0
17,686,5,2,1,2,0,170,5,5,7,True,1,0,1,2500.0,2,0
7,415,4,2,1,1,1,163,5,4,1,False,0,0,13,13498.846153846154,2,0
34,35,0,2,1,6,1,101,5,4,7,True,1,0,2,5750.0,2,0
2,435,2,2,1,6,0,680,4,2,13,True,1,0,2,245.0,0,0
16,660,5,0,1,6,1,131,5,5,13,True,1,0,9,5944.444444444444,2,0
0,118,0,2,1,6,1,145,4,3,7,False,1,0,8,9285.875,2,0
1,799,5,4,1,1,1,90,4,3,11,False,0,0,17,11176.470588235294,1,0
26,50,0,7,1,1,1,109,5,5,1,False,0,0,19,8421.052631578947,2,0
35,142,1,1,1,6,0,300,2,2,11,True,1,0,6,3500.0,0,0
44,1127,0,2,1,6,1,60,4,4,13,True,1,0,11,9361.09090909091,2,0
1,574,5,7,1,1,0,211,5,4,2,False,0,0,6,12948.833333333334,1,0
22,442,5,8,1,1,2,120,5,5,7,False,0,1,17,5764.705882352941,2,0
41,629,3,6,1,6,0,132,4,3,9,False,0,0,26,2366.576923076923,2,1
8,290,8,5,1,1,0,131,7,5,7,True,1,0,6,18179.33333333333,2,0
36,1219,0,6,1,2,0,88,5,5,1,False,0,0,13,9557.153846153846,2,0
8,283,3,7,1,6,1,82,5,5,9,False,0,0,7,16571.428571428572,2,0
2,1148,1,7,0,6,0,835,5,2,11,False,0,0,6,0.0,0,0
41,705,3,6,1,6,0,102,4,3,6,True,1,0,7,4575.285714285715,2,0
17,733,3,2,1,6,0,177,5,5,2,True,1,0,8,9668.125,2,0
31,1024,0,2,1,6,1,71,5,4,9,True,1,0,1,3100.0,2,0
16,336,5,2,1,6,1,99,5,5,10,False,1,0,12,11634.0,2,0
33,786,6,2,1,6,1,101,5,5,1,False,1,0,22,12318.181818181818,2,0
42,806,0,6,1,2,0,238,5,5,13,False,1,0,5,10223.4,1,0
30,386,6,4,1,1,0,190,5,5,1,False,0,0,9,10421.666666666666,1,0
39,724,3,2,1,6,1,95,5,4,4,True,0,0,6,8333.333333333334,2,0
21,662,1,2,1,6,0,610,2,2,13,True,1,0,5,1406.0,0,0
38,748,0,1,1,6,1,105,5,5,1,False,1,0,12,13666.666666666666,2,0
5,59,6,1,1,4,0,163,5,5,1,True,1,0,5,16000.0,1,0
20,836,3,6,1,4,0,141,5,5,7,False,1,0,8,14075.0,2,0
38,220,3,4,1,1,2,150,5,5,1,False,0,0,2,100.0,2,0
36,347,5,1,0,4,0,145,5,5,2,False,1,0,1,10.0,2,0
44,1094,3,2,1,6,1,150,5,4,9,True,1,0,17,14261.058823529413,2,0
26,420,3,0,1,6,0,186,5,5,9,True,1,0,4,6075.0,2,0
19,226,3,4,1,4,0,101,5,5,13,False,0,0,1,1000.0,2,0
32,909,3,7,1,1,1,116,5,5,13,False,0,0,5,6200.0,2,0
12,327,2,3,1,6,0,385,4,2,2,True,1,0,11,1739.7272727272727,2,0
8,288,3,6,1,6,0,82,5,5,13,True,0,0,12,11644.583333333334,2,0
11,983,5,2,1,6,1,91,5,4,13,True,0,0,1,10.0,2,0
18,1191,5,3,1,6,0,0,5,5,7,False,0,0,11,8363.636363636364,1,0
38,220,3,0,1,1,1,150,5,5,1,True,1,0,4,17250.0,2,0
36,783,0,1,1,6,1,300,5,4,8,False,0,0,2,19123.5,2,0
23,921,3,4,1,1,0,150,5,5,13,False,0,0,12,19500.0,1,0
45,1141,6,4,1,1,0,197,5,5,7,True,1,0,5,18000.0,1,0
4,821,5,7,1,6,0,544,5,4,2,False,0,0,9,3142.6666666666665,0,0
37,874,5,3,1,6,0,460,4,5,1,False,0,0,20,1024.5,0,0
18,482,3,7,1,4,0,309,5,5,13,False,0,0,5,12200.0,1,0
0,94,0,2,1,6,1,145,4,2,1,True,1,0,7,11264.42857142857,2,0
